host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,review_scores_rating,year_host,neighbourhood_cleansed2
within an hour,100,60,FALSE,120,120,TRUE,Novena,Central Region,1.31866,103.84811,serviced apartment,Entire home/apt,2,2,280,6,1125,6,6,1125,1125,6,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,113,113,0,0,NA,29,925,121,1,Other,4,18,NA,707,Novena
a few days or more,46,82,FALSE,126,126,TRUE,Geylang,Central Region,1.31176,103.88686,condominium,Entire home/apt,7,5,238,30,1125,30,30,1125,1125,30,1125,30,60,90,365,4,0,0,8,8,7,7,7,8,FALSE,69,68,0,0,0.2,35,1000,396,2,Other,8,30,70,2118,Geylang
a few days or more,46,82,FALSE,126,126,TRUE,Geylang,Central Region,1.31259,103.88573,condominium,Entire home/apt,5,2,168,30,1125,30,30,1125,1125,30,1125,30,60,90,365,4,0,0,8,7,9,9,7,7,FALSE,69,68,0,0,0.24,35,1000,396,1,Other,8,29,75,2118,Geylang
within an hour,100,75,FALSE,239,239,TRUE,River Valley,Central Region,1.29834,103.8394,condominium,Entire home/apt,2,1,290,7,1125,7,7,1125,1125,7,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,149,129,19,1,NA,42,1000,645,1,Other,8,32,NA,1276,Others
N/A,NA,100,FALSE,4,4,TRUE,Rochor,Central Region,1.30165,103.85869,hostel,Private room,6,6,180,1,1125,1,1,1125,1125,1,1125,29,59,89,364,1,0,0,6,4,8,8,8,4,FALSE,4,0,4,0,0.08,17,535,NA,12,Shared,1,1,60,567,Rochor
within an hour,100,0,FALSE,1,1,FALSE,Clementi,West Region,1.29856,103.76412,condominium,Private room,2,1,100,5,1125,2,5,1125,1125,4.1,1125,23,53,83,173,5,0,0,9,10,10,10,9,10,FALSE,1,0,1,0,0.25,36,996,100,1,Private,6,29,100,2606,Others
within a day,100,NA,FALSE,6,6,TRUE,Clementi,West Region,1.31859,103.7626,condominium,Private room,1,1,91,90,180,90,90,180,180,90,180,25,55,59,59,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,4,0,4,0,NA,36,654,NA,1,Shared,6,18,NA,1883,Others
within a few hours,81,84,TRUE,8,8,TRUE,Serangoon,Others,1.35671,103.86285,house,Private room,1,1,70,2,1125,2,2,1125,1125,2,1125,4,4,4,275,62,4,0,10,10,10,10,9,10,FALSE,3,0,3,0,3.17,41,1000,165,1,Shared,8,33,98,2790,Others
a few days or more,33,100,FALSE,3,3,TRUE,Kallang,Central Region,1.31178,103.85799,hostel,Hotel room,8,8,229,1,1125,1,1,365,1125,1,949.6,1,1,1,1,4,0,0,8,8,9,9,8,8,TRUE,3,0,0,0,0.22,45,774,NA,3,Other,3,21,90,565,Kallang
within an hour,100,82,TRUE,14,14,TRUE,Geylang,Central Region,1.31254,103.87882,condominium,Entire home/apt,9,4,138,3,999,3,3,999,999,3,999,23,53,83,83,42,6,0,10,10,10,10,9,9,FALSE,18,18,0,0,2.15,46,999,NA,2,Other,7,25,95,565,Geylang
