"","listing_id","nearest_stn","stn_distance","dist_centre"
"946",17626886,"LAVENDER MRT STATION",154.857463487984,2554.81044300299
"947",17641382,"CHINATOWN MRT STATION",345.353967078916,1269.08753007824
"948",17646003,"TIONG BAHRU MRT STATION",514.889611708862,3300.38380070206
"949",17657915,"CHINATOWN MRT STATION",182.146405346022,1065.68804035076
"950",17660250,"DAKOTA MRT STATION",1039.66881648012,5196.34573135103
"951",17672050,"BENDEMEER MRT STATION",344.619085831788,2921.56527217939
"952",17716164,"KEMBANGAN MRT STATION",965.810898909478,8523.83954441555
"953",17736530,"PIONEER MRT STATION",702.752287336886,18909.5018893462
"954",17765940,"LAKESIDE MRT STATION",272.534800419927,16089.4684220439
"955",17766467,"LAVENDER MRT STATION",266.689226459155,2786.92244941069
"956",17768467,"LAKESIDE MRT STATION",414.592455828405,15898.0983835489
"957",17769862,"FARRER PARK MRT STATION",28.7207467718568,2899.77950133612
"958",17794853,"HARBOURFRONT MRT STATION",1393.78839369138,5014.08366525146
"959",17798438,"SOMERSET MRT STATION",482.306958147846,2654.36504598578
"960",17798496,"SOMERSET MRT STATION",482.306958147846,2654.36504598578
"961",17805144,"KENT RIDGE MRT STATION",1810.63461049899,9439.09229434423
"962",17812922,"SOMERSET MRT STATION",482.306958147846,2654.36504598578
"963",17813026,"SOMERSET MRT STATION",482.306958147846,2654.36504598578
"964",17813122,"SOMERSET MRT STATION",482.306958147846,2654.36504598578
"965",17814354,"LITTLE INDIA MRT STATION",303.119957625707,2243.67292748521
"966",17832551,"TOA PAYOH MRT STATION",495.704760657511,4699.72316608183
"967",17856178,"PAYA LEBAR MRT STATION",271.842814793299,5272.81485499436
"968",17868078,"BENCOOLEN MRT STATION",89.9596610698407,1344.58322002307
"969",17868090,"BENCOOLEN MRT STATION",136.098690704024,1322.90344123567
"970",17881638,"MARYMOUNT MRT STATION",604.322235944426,6485.24572257073
"971",17893265,"CLARKE QUAY MRT STATION",113.322485594548,688.092760607791
"972",17899942,"BENDEMEER MRT STATION",502.58346340814,2905.95905615195
"973",17900978,"EUNOS MRT STATION",496.028460710975,6958.81609267222
"974",17927897,"CLARKE QUAY MRT STATION",314.77354225483,496.508131204996
"975",17928170,"CLARKE QUAY MRT STATION",213.939511170839,576.904010621456
"976",17928273,"CLARKE QUAY MRT STATION",299.588833181482,500.213571315944
"977",17929480,"CHINATOWN MRT STATION",265.245283492863,1356.90591714494
"978",17949590,"KEMBANGAN MRT STATION",546.83050436756,7198.20501033109
"979",17951810,"LAKESIDE MRT STATION",276.041854295335,15892.8259911885
"980",18011660,"KHATIB MRT STATION",1785.33678191884,14096.0712653893
"981",18052476,"NEWTON MRT STATION",346.695161902968,2988.50258301315
"982",18081902,"SOMERSET MRT STATION",205.595441352768,2267.01547763318
"983",18085436,"LORONG CHUAN MRT STATION",622.388905193942,7804.16941940562
"984",18086207,"BUGIS MRT STATION",219.178450216518,1609.81573360815
"985",18101665,"KEMBANGAN MRT STATION",258.326312792338,7891.26370234951
"986",18102244,"KEMBANGAN MRT STATION",284.348487892141,7837.81795236943
"987",18109887,"CLEMENTI MRT STATION",697.603753085898,10925.6439898081
"988",18117026,"JURONG EAST MRT STATION",229.9310790865,13459.9928555692
"989",18151459,"LAKESIDE MRT STATION",701.629013229151,16692.2010111721
"990",18153307,"TELOK AYER MRT STATION",217.379488620946,907.022764987641
"991",18169687,"KEMBANGAN MRT STATION",628.783730067266,8263.8851013917
"992",18199481,"CLARKE QUAY MRT STATION",219.000200657087,570.260805111709
"993",18202395,"TELOK AYER MRT STATION",118.008680764354,584.448761119887
"994",18203227,"BENCOOLEN MRT STATION",135.115971732294,1330.12418113951
"995",18235755,"NEWTON MRT STATION",345.878946636243,2994.23483404378
"996",18253219,"TANJONG PAGAR MRT STATION",212.016158083252,1563.80126309184
"997",18283249,"BEDOK MRT STATION",1804.33295400599,9064.1114058839
"998",18286281,"KENT RIDGE MRT STATION",1899.10422800077,9543.8070224198
"999",18342015,"KEMBANGAN MRT STATION",392.250267993446,8051.33884701412
"1000",18378142,"TANJONG PAGAR MRT STATION",390.574528594016,1622.71701802404
"1001",18378150,"BENCOOLEN MRT STATION",252.997852044484,1642.85151481675
"1002",18395154,"FORT CANNING MRT STATION",496.132460174783,1680.31643077107
"1003",18421322,"LAVENDER MRT STATION",278.552813107371,2702.28280353909
"1004",18434466,"KALLANG MRT STATION",323.687824726928,3451.30894495553
"1005",18452100,"LAVENDER MRT STATION",99.4988779275376,2665.48414889767
"1006",18478731,"WOODLANDS SOUTH MRT STATION",598.995454579502,17353.9344054239
"1007",18479131,"OUTRAM PARK MRT STATION",502.678601918872,1790.9887937504
"1008",18484277,"DAKOTA MRT STATION",1175.76133622115,5624.22907880617
"1009",18492050,"TAN KAH KEE MRT STATION",709.319953177697,6497.50837446782
"1010",18496173,"POTONG PASIR MRT STATION",629.021085554061,4780.96957263358
"1011",18508828,"ADMIRALTY MRT STATION",811.158361936721,18894.8077583625
"1012",18509748,"BOON KENG MRT STATION",251.022140896646,3663.0470587149
"1013",18513959,"LAVENDER MRT STATION",228.993792738678,2786.64370521308
"1014",18517165,"KEMBANGAN MRT STATION",548.59301194264,7136.63777693821
"1015",18572753,"EUNOS MRT STATION",481.616464195868,6984.1216906197
"1016",18585234,"TIONG BAHRU MRT STATION",334.033808810627,2788.47290515557
"1017",18601984,"ALJUNIED MRT STATION",470.047348686483,4897.7149335958
"1018",18619859,"PIONEER MRT STATION",941.278568337878,18873.7504423921
"1019",18646201,"LAVENDER MRT STATION",345.38241255326,2770.71075808483
"1020",18646333,"TANJONG PAGAR MRT STATION",498.174059868045,1814.70422043927
"1021",18674998,"SOMERSET MRT STATION",402.029941366596,2243.34377875871
"1022",18675202,"SOMERSET MRT STATION",395.671442227516,2167.18573841015
"1023",18677397,"YEW TEE MRT STATION",564.894042047639,17386.6057040462
"1024",18755310,"PASIR RIS MRT STATION",1547.56378569703,15222.8620865766
"1025",18757509,"LAVENDER MRT STATION",152.220508072158,2523.19734237202
"1026",18759060,"TANJONG PAGAR MRT STATION",325.508758319457,1176.72874227996
"1027",18780571,"LITTLE INDIA MRT STATION",265.72061993491,1807.66745867515
"1028",18783955,"KHATIB MRT STATION",1887.07267006984,13588.4237463151
"1029",18858584,"SOMERSET MRT STATION",128.002628903816,2159.50133327134
"1030",18905203,"KENT RIDGE MRT STATION",2100.14149364097,9746.31552334866
"1031",18906439,"BRAS BASAH MRT STATION",380.518070265197,1206.17147865078
"1032",18915769,"ORCHARD MRT STATION",529.405318388251,2974.42670403289
"1033",18915772,"ORCHARD MRT STATION",529.405318388251,2974.42670403289
"1034",18915776,"ORCHARD MRT STATION",529.405318388251,2974.42670403289
"1035",18939913,"BEDOK MRT STATION",1307.22033996118,9623.92225612279
"1036",18978986,"CANBERRA MRT STATION",488.447853849102,17888.9781370052
"1037",19007966,"CHINATOWN MRT STATION",111.46510610476,1210.09362247685
"1038",19056267,"FARRER PARK MRT STATION",308.198169544055,2849.45098849763
"1039",19073773,"KEMBANGAN MRT STATION",284.512497102664,7794.34849486571
"1040",19091188,"ANG MO KIO MRT STATION",474.980759155822,8889.17635998564
"1041",19094250,"KEMBANGAN MRT STATION",826.811580682975,8225.76472634087
"1042",19107598,"FARRER PARK MRT STATION",733.323204525137,3571.49124677274
"1043",19125341,"CHINATOWN MRT STATION",111.46510610476,1210.09362247685
"1044",19128310,"CHINATOWN MRT STATION",111.46510610476,1210.09362247685
"1045",19132814,"HOUGANG MRT STATION",927.99648912249,11063.9140028049
"1046",19153604,"HOUGANG MRT STATION",873.030696977818,11064.71461167
"1047",19164663,"TELOK AYER MRT STATION",233.568991034009,918.721208247804
"1048",19164699,"TELOK AYER MRT STATION",286.293365525285,978.579233698542
"1049",19184001,"TANJONG PAGAR MRT STATION",281.471594274959,1638.88962093956
"1050",19184003,"TANJONG PAGAR MRT STATION",319.003039046208,1622.49124376552
"1051",19184005,"TANJONG PAGAR MRT STATION",282.364512436648,1573.57296962873
"1052",19184009,"TANJONG PAGAR MRT STATION",148.850994067944,1212.795659312
"1053",19184011,"TANJONG PAGAR MRT STATION",310.878955088819,1667.13321787378
"1054",19184013,"TANJONG PAGAR MRT STATION",407.701123494845,1746.76040103176
"1055",19184500,"TANJONG PAGAR MRT STATION",323.495908246695,1649.43395063498
"1056",19184501,"TANJONG PAGAR MRT STATION",151.961300590229,1488.65651976544
"1057",19184502,"TANJONG PAGAR MRT STATION",192.540347989557,1548.84799167702
"1058",19184503,"TANJONG PAGAR MRT STATION",362.854051811039,1631.2480421265
"1059",19199981,"BUGIS MRT STATION",236.914948416356,1295.93398390419
"1060",19200431,"BUKIT GOMBAK MRT STATION",944.740876313111,12979.139382029
"1061",19218794,"KEMBANGAN MRT STATION",1539.18891505378,7207.77388760917
"1062",19229162,"SOMERSET MRT STATION",583.567262423244,1926.72562306317
"1063",19231081,"TANJONG PAGAR MRT STATION",162.545045731695,1395.67765398217
